,Drugname,id
689,Elavil,689
690,Endocet,690
691,Unisom SleepGels,691
692,Invokana,692
693,Naphazoline,693
694,Hydrochlorothiazide / telmisartan,694
695,Mycophenolate mofetil,695
696,Eucrisa,696
697,Biltricide,697
698,Bystolic,698
699,Ibuprofen / pseudoephedrine,699
700,Alesse,700
701,Bisoprolol / hydrochlorothiazide,701
702,Fexofenadine,702
703,Fentora,703
704,Guaifenesin,704
705,Modafinil,705
706,Kadian,706
707,Dexamethasone,707
708,Atropine / diphenoxylate,708
709,Metformin / sitagliptin,709
710,Fluorouracil,710
711,Clobetasol,711
712,Commit,712
713,Tri-Lo-Sprintec,713
714,Guaifenesin / phenylephrine,714
715,Dexbrompheniramine / pseudoephedrine,715
716,FreshKote,716
717,Racepinephrine,717
718,Keflex,718
719,Fluticasone,719
720,Levemir,720
721,Alprostadil,721
722,Carbidopa / levodopa,722
723,Tranexamic acid,723
724,Esomeprazole,724
725,Voltaren Gel,725
726,Adderall XR,726
727,Hydrocortisone,727
728,Remeron,728
729,Genvoya,729
730,Podofilox,730
731,Tri-Previfem,731
732,Atorvastatin,732
733,Carisoprodol,733
734,Gildess Fe 1.5 / 30,734
735,Viagra,735
736,Famotidine / ibuprofen,736
737,Selenium sulfide,737
738,Aubra,738
739,Tocilizumab,739
740,Lacosamide,740
741,Axiron,741
742,Finacea,742
743,Hydrocodone / ibuprofen,743
744,Vantin,744
745,Silenor,745
746,Rivaroxaban,746
747,Motrin,747
748,Cholestyramine,748
749,Nor-QD,749
750,Ketamine,750
751,Flurazepam,751
752,Aubagio,752
753,Nebivolol,753
754,Vandazole,754
755,Clopidogrel,755
756,Imuran,756
757,Avanafil,757
758,Robaxin-750,758
759,Hydrochlorothiazide / lisinopril,759
760,Targiniq ER,760
761,Drospirenone / ethinyl estradiol / levomefolate calcium,761
762,Breo Ellipta,762
763,Zonisamide,763
764,Diamox,764
765,Warfarin,765
766,Amlodipine,766
767,Midazolam,767
768,Parnate,768
769,Next Choice,769
770,Gleevec,770
771,Movantik,771
772,Cabergoline,772
773,Opcicon One-Step,773
774,Vivelle-Dot,774
775,Estrace Vaginal Cream,775
776,Trihexyphenidyl,776
777,Acetaminophen / propoxyphene,777
778,Invega Sustenna,778
779,Mephobarbital,779
780,Nexium,780
781,Insulin glargine,781
782,Hydromet,782
783,Tenofovir,783
784,Chlordiazepoxide,784
785,Taltz,785
786,Blisovi 24 Fe,786
787,Campral,787
788,Loratadine / pseudoephedrine,788
789,Sodium biphosphate / sodium phosphate,789
790,Risedronate,790
791,Lenalidomide,791
792,Klor-Con,792
793,Furosemide,793
794,Exemestane,794
795,Diclegis,795
796,Monodox,796
797,Bethanechol,797
798,Portia,798
799,Eliquis,799
800,Prochlorperazine,800
801,Diclofenac / misoprostol,801
802,Amlodipine / benazepril,802
803,Adzenys XR-ODT,803
804,Natalizumab,804
805,Aldactone,805
806,Benadryl,806
807,Niaspan,807
808,Citric acid / magnesium oxide / sodium picosulfate,808
809,Fioricet,809
810,Clonidine,810
811,Lactulose,811
812,Guaifenesin / pseudoephedrine,812
813,R-Tanna,813
814,Jublia,814
815,Atenolol,815
816,Solifenacin,816
817,Lidoderm,817
818,Bismuth subcitrate potassium / metronidazole / tetracycline,818
819,Nicotrol Inhaler,819
820,Levlen,820
821,Asacol,821
822,Viorele,822
823,Depakote ER,823
824,Fortesta,824
825,Silvadene,825
826,Estring,826
827,Duragesic,827
828,Xyzal,828
829,Artane,829
830,Tafinlar,830
831,Orencia,831
832,Lyza,832
833,Tegretol XR,833
834,Ceftin,834
835,Tambocor,835
836,Previfem,836
837,Duavee,837
838,Microgestin 1 / 20,838
839,Ocular lubricant,839
840,Vascepa,840
841,Estradiol Patch,841
842,Protonix IV,842
843,HC-Derma-Pax,843
844,Welchol,844
845,Tirosint,845
846,Sandostatin,846
847,Patanol,847
848,Olmesartan,848
849,Xolair,849
850,Irbesartan,850
851,Lidocaine,851
852,Librax,852
853,Chlorthalidone,853
854,Naprelan,854
855,Prolia,855
856,Dolutegravir,856
857,Cefpodoxime,857
858,Clocortolone,858
859,Ultram,859
860,Afrezza,860
861,Tysabri,861
862,Lactobacillus acidophilus,862
863,Oxaliplatin,863
864,Mexiletine,864
865,Halcion,865
866,Somatropin,866
867,Enjuvia,867
868,"Multivitamin, prenatal",868
869,Omnicef,869
870,Embeda,870
871,Triamcinolone,871
872,Uloric,872
873,Caffeine,873
874,Arthrotec,874
875,Sodium hyaluronate,875
876,Zarah,876
877,Benicar HCT,877
878,Hydrochlorothiazide / spironolactone,878
879,Sumavel DosePro,879
880,Immune globulin subcutaneous,880
881,Certolizumab,881
882,Aftera,882
883,Pemoline,883
884,Delsym,884
885,Capzasin-HP,885
886,Topicort,886
887,Carvedilol,887
888,Actiq,888
889,Phendimetrazine,889
890,Mysoline,890
891,Acamprosate,891
892,Prevnar 13,892
893,Doxazosin,893
894,Vistaril,894
895,Rapaflo,895
896,Vitamin B2,896
897,Acthar,897
898,Memantine,898
899,Heather,899
900,Apixaban,900
901,Patanase,901
902,Januvia,902
903,Nicotine,903
904,S-adenosylmethionine,904
905,Zetia,905
906,Feldene,906
907,Pradaxa,907
908,Abacavir / dolutegravir / lamivudine,908
909,Synvisc,909
910,Dextromethorphan / quinidine,910
911,Acetaminophen / tramadol,911
912,Tazarotene,912
913,Opcon-A,913
914,Ketoprofen,914
915,Golimumab,915
916,Kava,916
917,Loestrin Fe 1.5 / 30,917
918,Letairis,918
919,Coartem,919
920,Complera,920
921,ProAir HFA,921
922,Nasacort,922
923,Pramoxine,923
924,Clindesse,924
925,Cozaar,925
926,Multivitamin,926
927,Chlorpromazine,927
928,Protopic,928
929,Migranal,929
930,Teriparatide,930
931,Dihydroergotamine,931
932,Potassium chloride,932
933,Chateal,933
934,Quasense,934
935,Anafranil,935
936,Advair Diskus,936
937,Nefazodone,937
938,Ditropan,938
939,Taytulla,939
940,Kenalog,940
941,Tenormin,941
942,Rebif,942
943,Copaxone,943
944,Generess Fe,944
945,Hydroxyurea,945
946,Retisert,946
947,Alfuzosin,947
948,Penciclovir,948
949,Betamethasone / calcipotriene,949
950,Brisdelle,950
951,Dyanavel XR,951
952,Allerx Dose Pack DF,952
953,Deltasone,953
954,Amaryl,954
955,Soolantra,955
956,Mucinex,956
957,Desyrel,957
958,Levocetirizine,958
959,Cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,959
960,Lopinavir / ritonavir,960
961,Byetta,961
962,Catapres-TTS,962
963,Chlorpheniramine,963
964,Sustiva,964
965,Zaleplon,965
966,Farxiga,966
967,Janumet,967
968,Lo / Ovral-28,968
969,Docetaxel,969
970,Lantus Solostar,970
971,Oxistat,971
972,Selegiline,972
973,Sunitinib,973
974,Levorphanol,974
975,Cheratussin AC,975
976,Umeclidinium / vilanterol,976
977,Erlotinib,977
978,Forteo,978
979,Seasonale,979
980,Actemra,980
981,Urso Forte,981
982,Aspirin,982
983,Zyprexa Zydis,983
984,Cosentyx,984
985,MiraLax,985
986,Esgic,986
987,Rituximab,987
988,Fluticasone / vilanterol,988
989,Tacrolimus,989
990,Supartz,990
991,Tenuate,991
992,Beclomethasone,992
993,Fenofibric acid,993
994,Panlor SS,994
995,Methylnaltrexone,995
996,Benicar,996
997,Sofosbuvir / velpatasvir,997
998,Methadose,998
999,Calcitriol,999
1000,Emtricitabine / rilpivirine / tenofovir,1000
1001,Didrex,1001
1002,Dextroamphetamine,1002
1003,Codeine,1003
1004,Kerydin,1004
1005,Requip,1005
1006,Arimidex,1006
1007,Pylera,1007
1008,Zohydro ER,1008
1009,Octreotide,1009
1010,GoLYTELY,1010
1011,Eszopiclone,1011
1012,Bicalutamide,1012
1013,Benzoyl peroxide / erythromycin,1013
1014,Estradiol / levonorgestrel,1014
1015,Evamist,1015
1016,Glipizide,1016
1017,Dicyclomine,1017
1018,Tarina Fe 1 / 20,1018
1019,Trileptal,1019
1020,Magnesium citrate,1020
1021,Rosuvastatin,1021
1022,Primidone,1022
1023,Yasmin,1023
1024,Cefprozil,1024
1025,Comtan,1025
1026,Omega-3 polyunsaturated fatty acids,1026
1027,Oleptro,1027
1028,Atacand,1028
1029,Namenda XR,1029
1030,Xanax XR,1030
1031,Human papillomavirus vaccine,1031
1032,Amoxil,1032
1033,Clobex,1033
1034,Bepotastine,1034
1035,Propafenone,1035
1036,Siliq,1036
1037,Metadate CD,1037
1038,Prezcobix,1038
1039,Telmisartan,1039
1040,Cloderm,1040
1041,Roxicodone,1041
1042,Ubiquinone,1042
1043,Robaxin,1043
1044,Sitavig,1044
1045,Dulcolax Laxative,1045
1046,Flector Patch,1046
1047,Ribavirin,1047
1048,Ultram ODT,1048
1049,Quinine,1049
1050,Aluminum hydroxide / magnesium trisilicate,1050
1051,Ipratropium,1051
1052,Dexchlorpheniramine,1052
1053,Ephedrine / guaifenesin,1053
1054,Claravis,1054
1055,GaviLyte-C,1055
1056,Hydroxyamphetamine / tropicamide,1056
1057,MCT,1057
1058,Onfi,1058
1059,Anoro Ellipta,1059
1060,Hylan g-f 20,1060
1061,Acanya,1061
1062,Vivitrol,1062
1063,Gelnique,1063
1064,Entyvio,1064
1065,Dramamine,1065
1066,Stribild,1066
1067,Desipramine,1067
1068,Biaxin,1068
1069,Casodex,1069
1070,Maraviroc,1070
1071,Gablofen,1071
1072,OxyContin,1072
1073,Ivermectin,1073
1074,Chlorpheniramine / hydrocodone,1074
1075,Egrifta,1075
1076,Propecia,1076
1077,Vagifem,1077
1078,Barium sulfate,1078
1079,Provigil,1079
1080,Ursodiol,1080
1081,Cardizem LA,1081
1082,Zofran ODT,1082
1083,Cholecalciferol,1083
1084,Tafluprost,1084
1085,Singulair,1085
1086,Granisetron,1086
1087,Phenytoin,1087
1088,Gilotrif,1088
1089,Afrin,1089
1090,Exforge,1090
1091,Benzaclin,1091
1092,Xeloda,1092
1093,Vectical,1093
1094,Sancuso,1094
1095,Loestrin Fe 1 / 20,1095
1096,Zestril,1096
1097,Prednisolone,1097
1098,Dasatinib,1098
1099,Pimtrea,1099
1100,Doxy 100,1100
1101,Tranxene,1101
1102,Codeine / promethazine,1102
1103,Xylometazoline,1103
1104,Acetaminophen / pamabrom,1104
1105,Loryna,1105
1106,Lysine,1106
1107,Ritalin-SR,1107
1108,Emla,1108
1109,Nubain,1109
1110,Digoxin,1110
1111,Clarifoam EF,1111
1112,Colchicine / probenecid,1112
1113,Hyoscyamine / methenamine / methylene blue / phenyl salicylate,1113
1114,Anexsia,1114
1115,Unisom SleepTabs,1115
1116,NuOx,1116
1117,Bonine,1117
1118,Synvisc-One,1118
1119,Iloperidone,1119
1120,Ogestrel-28,1120
1121,Septra,1121
1122,Vestura,1122
1123,Cerezyme,1123
1124,Stadol,1124
1125,Acetaminophen / chlorpheniramine / phenylephrine,1125
1126,Sominex,1126
1127,Plaquenil,1127
1128,Sulfacetamide sodium,1128
1129,Perampanel,1129
1130,Gianvi,1130
1131,Methadone Diskets,1131
1132,Pazopanib,1132
1133,Fondaparinux,1133
1134,Septra DS,1134
1135,Robitussin CoughGels Long-Acting,1135
1136,Chlordiazepoxide / clidinium,1136
1137,Pancrelipase,1137
1138,Acetaminophen / diphenhydramine,1138
1139,Metamucil,1139
1140,Sulfazine,1140
1141,Skelaxin,1141
1142,Imipramine,1142
1143,Tessalon Perles,1143
1144,Teriflunomide,1144
1145,Pennsaid,1145
1146,HyoMax SL,1146
1147,Zymine,1147
1148,Esomeprazole / naproxen,1148
1149,Allopurinol,1149
1150,Disulfiram,1150
1151,Difluprednate,1151
1152,Methylin ER,1152
1153,Venofer,1153
1154,Ascomp with Codeine,1154
1155,Azelaic acid,1155
1156,Thorazine,1156
1157,Dronabinol,1157
1158,Formoterol,1158
1159,Prefrin,1159
1160,Verdeso,1160
1161,Tobramycin,1161
1162,Belbuca,1162
1163,Safyral,1163
1164,Hyoscyamine,1164
1165,Metformin / saxagliptin,1165
