,Condition,id
211,Nausea/Vomiting of Pregnancy,137281
212,Mucositis,137282
213,"Ulcerative Colitis, Active",137283
214,Head Lice,137284
215,Tonsillitis/Pharyngitis,137285
216,Pseudotumor Cerebri,141181
217,Parkinson's Disease,139819
218,Sciatica,137288
219,Cance,137289
220,Bacterial Endocarditis Prevention,137290
221,"Diarrhea, Chronic",137291
222,Hypertensive Emergency,137292
223,Keratosis,137293
224,Ovarian Cysts,137294
225,Behcet's Disease,137295
226,Chronic Idiopathic Constipation,137296
227,lic Acid Deficiency,137297
228,Chronic Fatigue Syndrome,137298
229,Basal Cell Carcinoma,137299
230,Cataplexy,137300
231,"Crohn's Disease, Maintenance",137301
232,Diabetic Peripheral Neuropathy,137302
233,Arrhythmia,137303
234,Primary Ovarian Failure,140621
235,Influenza Prophylaxis,137305
236,Agitated State,137306
237,Heart Failure,140543
238,atigue,137308
239,Opiate Withdrawal,137309
240,"Endometrial Hyperplasia, Prophylaxis",137310
241,Immunosuppression,137311
242,Dystonia,137312
243,Alopecia,137313
244,Vulvodynia,137314
245,Premenstrual Dysphoric Disorde,137315
246,Alcohol Dependence,137316
247,Myasthenia Gravis,139710
248,Social Anxiety Disorde,137318
249,Atopic Dermatitis,139826
250,Schistosoma japonicum,137320
251,Sinus Symptoms,137321
252,min / sitagliptin),137322
253,Dermatitis,137323
254,Eye Redness,137324
255,Warts,137325
256,Menorrhagia,137326
257,Seizure Prevention,137327
258,Ophthalmic Surgery,137328
259,Skin Rash,137329
260,Condylomata Acuminata,137330
261,NSAID-Induced Ulcer Prophylaxis,137331
262,Tinea Versicol,137332
263,Peripheral Neuropathy,137333
264,Deep Vein Thrombosis,137334
265,Heart Attack,139759
266,"Pulmonary Embolism, Recurrent Event",137336
267,Light Sedation,137337
268,Acute Lymphoblastic Leukemia,137338
269,Hyperprolactinemia,137339
270,Indigestion,139970
271,Hepatitis B,137341
272,Dysautonomia,137342
273,Status Epilepticus,137343
274,Postpartum Depression,137344
275,Multiple Myeloma,140042
276,Prevention of Hypokalemia,137346
277,Edema,137347
278,Urinary Retention,137348
279,Prevention of Thromboembolism in Atrial Fibrillation,137349
280,Cluster Headaches,137350
281,"Sexual Dysfunction, SSRI Induced",137351
282,Dermatitis Herpetiformis,137352
283,Temporomandibular Joint Disorde,137353
284,"Burns, External",137354
285,Actinic Keratosis,137355
286,Pharyngitis,137356
287,"Melanoma, Metastatic",137357
288,Atrial Flutte,137358
289,Lyme Disease,140364
290,Dry Eye Disease,137360
291,Allergic Reactions,137361
292,Hypertriglyceridemia,137362
293,Pruritus,137363
294,Carcinoid Tum,137364
295,Muscle Pain,140209
296,Colorectal Cance,137366
297,Vitamin/Mineral Supplementation during Pregnancy/Lactation,137367
298,"Nausea/Vomiting, Chemotherapy Induced",137368
299,Women (oxybutynin),137369
300,Primary Immunodeficiency Syndrome,137370
301,New Daily Persistent Headache,137371
302,Pneumococcal Disease Prophylaxis,137372
303,Burning Mouth Syndrome,137373
304,Urinary Tract Stones,137374
305,Pseudobulbar Affect,137375
306,Eye Redness/Itching,137376
307,"Deep Vein Thrombosis, First Event",137377
308,Pulmonary Hypertension,137378
309,Malaria,140509
310,Sarcoidosis,140391
311,Dietary Supplementation,137381
312,Bulimia,140553
313,Tendonitis,137383
314,Nasal Polyps,137384
315,Hypokalemia,137385
316,"Anemia, Sickle Cell",137386
317,Uveitis,137387
318,Streptococcal Infection,137388
319,Perimenopausal Symptoms,137389
320,Asperger Syndrome,137390
321,Tinea Corporis,137391
322,Mania,137392
323,Renal Cell Carcinoma,137393
324,COPD,137394
325,Biliary Cirrhosis,137395
326,Vertig,137396
327,Reversal of Opioid Sedation,137397
328,Non-Hodgkin's Lymphoma,140026
329,"High Cholesterol, Familial Homozygous",137399
330,Periodic Limb Movement Disorde,137400
331,Supraventricular Tachycardia,137401
332,Hypoestrogenism,137402
333,Juvenile Idiopathic Arthritis,137403
334,Swine Flu,137404
335,Giardiasis,137405
336,Binge Eating Disorde,137406
337,Tourette's Syndrome,137407
338,Trichomoniasis,137408
339,acial Wrinkles,137409
340,Pulmonary Embolism,137410
341,"Conjunctivitis, Allergic",137411
342,Avian Influenza,137412
343,Hemangioma,137413
344,Nocturnal Leg Cramps,137414
345,Thyroid Suppression Test,137415
346,Muscle Twitching,137416
347,Pupillary Dilation,137417
348,Lennox-Gastaut Syndrome,137418
349,Opiate Adjunct,137419
350,Postoperative Pain,137420
351,Candida Urinary Tract Infection,137421
352,Cerebral Spasticity,137422
353,Lipodystrophy,137423
354,Androgenetic Alopecia,137424
355,Computed Tomography,137425
356,Mitral Valve Prolapse,137426
357,Vitamin D Deficiency,140756
358,"Glaucoma, Open Angle",137428
359,Endoscopy or Radiology Premedication,137429
360,Alzheimer's Disease,140762
361,Gouty Arthritis,137431
362,Paroxysmal Supraventricular Tachycardia,140130
363,"Deep Vein Thrombosis, Prophylaxis",137433
364,Gaucher Disease,137434
365,Lymphocytic Colitis,137435
366,Pancreatic Cance,137436
367,Cystic Fibrosis,141413
368,Noninfectious Colitis,137438
369,Nephrocalcinosis,137439
370,Iron Deficiency Anemia,137440
371,mulation) (phenylephrine),137441
372,Hiccups,140431
373,Bronchospasm Prophylaxis,137443
374,Chronic Spasticity,137444
375,min / saxagliptin),137445
376,Post-Cholecystectomy Diarrhea,137446
377,Postherpetic Neuralgia,137447
378,"Insomnia, Stimulant-Associated",137448
379,"COPD, Acute",137449
380,Herpes Simplex Dendritic Keratitis,137450
381,Oophorectomy,137451
382,Cyclic Vomiting Syndrome,137452
383,Chronic Lymphocytic Leukemia,140782
384,"Lyme Disease, Arthritis",137454
385,Pseudomembranous Colitis,137455
386,Conjunctivitis,137456
387,min),137457
388,Intraocular Hypertension,137458
389,Aphthous Ulce,137459
390,"Ulcerative Colitis, Maintenance",137460
391,Melasma,137461
392,"Lyme Disease, Neurologic",137462
393,ge (amlodipine / valsartan),137463
394,Herpes Zoste,137464
395,Cervical Dystonia,137465
396,Labor Induction,137466
397,Human Papilloma Virus,137467
398,Chronic Pancreatitis,137468
399,Polycythemia Vera,137469
400,Dermatological Disorders,137470
401,Lewy Body Dementia,137471
402,amilial Mediterranean Feve,137472
403,Neurosurgery,137473
404,Gastroenteritis,137474
405,Macular Edema,139916
406,Tinea Pedis,137476
407,Diagnosis and Investigation,137477
408,Gas,139838
409,Neuralgia,137479
410,Local Anesthesia,137480
411,Acute Coronary Syndrome,137481
412,Aspiration Pneumonia,137482
413,Idiopathic Thrombocytopenic Purpura,137483
414,"Onychomycosis, Fingernail",137484
415,Photoaging of the Skin,137485
416,Premature Lab,137486
417,Precocious Puberty,137487
418,Prevention of Bladder infection,137488
419,Seasonal Affective Disorde,137489
420,Diabetic Kidney Disease,137490
421,"Crohn's Disease, Acute",137491
422,Insulin Resistance Syndrome,137492
423,Pudendal Neuralgia,137493
424,Reiter's Syndrome,137494
425,Amyotrophic Lateral Sclerosis,137495
426,Body Dysmorphic Disorde,137496
427,"Prosthetic Heart Valves, Mechanical Valves - Thrombosis Prophylaxis",137497
428,Dandruff,139695
429,Vitamin B12 Deficiency,137499
430,Bone infection,137500
431,"Prosthetic Heart Valves, Tissue Valves - Thrombosis Prophylaxis",137501
432,Iritis,137502
433,Allergic Urticaria,137503
434,Cardiovascular Risk Reduction,137504
435,Giant Cell Tumor of Bone,137505
436,Babesiosis,137506
437,Secondary Hyperparathyroidism,137507
438,Hypoparathyroidism,137508
439,Performance Anxiety,137509
440,Abortion,140529
441,Skin Cance,137511
442,Ovulation Induction,137512
443,Liver Magnetic Resonance Imaging,137513
444,Vitamin/Mineral Supplementation and Deficiency,137514
445,"Herpes Simplex, Mucocutaneous/Immunocompetent Host",137515
446,Anemia Associated with Chronic Renal Failure,137516
447,Hyperphosphatemia of Renal Failure,137517
448,Dissociative Identity Disorde,137518
449,Anal Fissure and Fistula,137519
450,"Herpes Simplex, Mucocutaneous/Immunocompromised Host",137520
451,Scabies,139887
452,Endometrial Cance,137522
453,Transient Ischemic Attack,140059
454,Granuloma Annulare,137524
455,Traveler's Diarrhea,140058
456,Candidemia,137526
457,t Pac with Cyclobenzaprine (cyclobenzaprine),137527
458,Hypoactive Sexual Desire Disorde,137528
459,"Epicondylitis, Tennis Elbow",137529
460,Nightmares,137530
461,Dientamoeba fragilis,137531
462,Ventricular Tachycardia,137532
463,Dumping Syndrome,137533
464,Myelodysplastic Syndrome,137534
465,Hypodermoclysis,137535
466,zen Shoulde,137536
467,Topical Disinfection,137537
468,Perioral Dermatitis,137538
469,Agitation,137539
470,Intermittent Claudication,137540
471,Prevention of Osteoporosis,137541
472,Leukemia,137542
473,Dermatitis Herpeti,137543
474,mis,137544
475,Eosinophilic Esophagitis,137545
476,"Hyperlipoproteinemia Type IIa, Elevated LDL",137546
477,Endometrial Hyperplasia,137547
478,Peptic Ulce,137548
479,Chronic Myofascial Pain,137549
480,Enterocolitis,137550
481,Secondary Cutaneous Bacterial Infections,137551
482,Syringomyelia,137552
483,Postoperative Ocular Inflammation,137553
484,Persistent Depressive Disorde,137554
485,Otitis Externa,137555
486,"Organ Transplant, Rejection Prophylaxis",137556
487,Intermittent Explosive Disorde,137557
488,Dermatophytosis,137558
489,Inflammatory Bowel Disease,140106
490,Porphyria,137560
491,Anemia,140979
492,Hyperuricemia Secondary to Chemotherapy,137562
493,Wolff-Parkinson-White Syndrome,137563
494,eve,137564
495,Ectopic Pregnancy,137565
496,Thyroid Cance,137566
497,"Tuberculosis, Latent",137567
498,Nasal Carriage of Staphylococcus aureus,137568
499,Systemic Candidiasis,137569
500,Ear Wax Impaction,137570
501,Hepatocellular Carcinoma,137571
502,Dyspareunia,137572
503,Tic Disorde,137573
504,Head and Neck Cance,137574
505,Klinefelter Syndrome,137575
506,Rhinorrhea,137576
507,Soft Tissue Sarcoma,137577
508,Diabetic Macular Edema,139910
509,Menopausal Disorders,137579
510,Anesthetic Adjunct,137580
511,Tinea Cruris,137581
512,tic (mycophenolic acid),137582
513,Ischemic Stroke,137583
514,Malignant Glioma,137584
515,Thrombocythemia,137585
516,Atrophic Urethritis,137586
517,Systemic Sclerosis,137587
518,Macular Degeneration,137588
519,AIDS Related Wasting,137589
520,Hemophilia A,141002
521,Osteolytic Bone Lesions of Multiple Myeloma,137591
522,Autoimmune Hemolytic Anemia,137592
523,ailure to Thrive,137593
524,Strongyloidiasis,137594
525,Vitamin K Deficiency,137595
526,Ulcerative Proctitis,137596
527,Premenstrual Syndrome,137597
528,Primary Hyperaldosteronism,137598
529,Lactose Intolerance,137599
530,Anal Itching,140366
531,amilial Cold Autoinflammatory Syndrome,137601
532,Duodenal Ulce,137602
533,"Tuberculosis, Prophylaxis",137603
534,Neurosis,137604
535,Turner's Syndrome,137605
536,NSAID-Induced Gastric Ulce,137606
537,CNS Magnetic Resonance Imaging,137607
538,Atherosclerosis,137608
539,Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery,137609
540,Gastritis/Duodenitis,137610
541,"Diarrhea, Acute",137611
542,Costochondritis,137612
543,Portal Hypertension,137613
544,Glaucoma/Intraocular Hypertension,137614
545,Toothache,140136
546,Benzodiazepine Withdrawal,137616
547,m Pain Disorde,137617
548,Esophageal Candidiasis,137618
549,Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery,137619
550,Peripheral Arterial Disease,137620
551,"Deep Vein Thrombosis, Recurrent Event",137621
552,"Pseudogout, Prophylaxis",137622
553,Lichen Planus,137623
554,CMV Prophylaxis,137624
555,Neuritis,137625
556,Typhoid Feve,137626
557,Tardive Dyskinesia,137627
558,Ichthyosis,137628
559,Juvenile Rheumatoid Arthritis,137629
560,B12 Nutritional Deficiency,137630
561,Primary Nocturnal Enuresis,137631
562,Dercum's Disease,137632
563,Cutaneous Candidiasis,137633
564,Gingivitis,137634
565,Q Feve,137635
566,Hyperekplexia,137636
567,Niacin Deficiency,137637
568,Dietary Fiber Supplementation,137638
569,Nephrotic Syndrome,140112
570,Pinworm Infection (Enterobius vermicularis),137640
571,Pancreatic Exocrine Dysfunction,137641
572,"Nausea/Vomiting, Radiation Induced",137642
573,Schilling Test,137643
574,Mild Cognitive Impairment,137644
575,"Ischemic Stroke, Prophylaxis",137645
576,"Gonococcal Infection, Uncomplicated",137646
577,Ovarian Cance,137647
578,Eyelash Hypotrichosis,137648
579,Meniere's Disease,137649
580,Tinea Capitis,137650
581,Lichen Sclerosus,137651
582,min / pioglitazone),137652
583,Renal Transplant,137653
584,"Gout, Prophylaxis",137654
585,von Willebrand's Disease,137655
586,Prevention of Atherothrombotic Events,137656
587,Small Fiber Neuropathy,137657
588,min / rosiglitazone),137658
589,Peyronie's Disease,140720
590,Autoimmune Hepatitis,137660
591,llicular Lymphoma,137661
592,Auditory Processing Disorde,137662
593,"Herpes Zoster, Prophylaxis",137663
594,Submental Fullness,137664
595,Lactation Augmentation,137665
596,Radionuclide Myocardial Perfusion Study,137666
597,Prevention of Cardiovascular Disease,137667
598,Varicella-Zoste,137668
599,Pelvic Inflammatory Disease,140092
600,Intraabdominal Infection,137670
601,Croup,137671
602,Dermatologic Lesion,137672
603,"Hyperlipoproteinemia Type IV, Elevated VLDL",137673
604,Expectoration,137674
605,Primary Hyperaldosteronism Diagnosis,137675
606,Abdominal Distension,137676
607,Salivary Gland Cance,137677
608,"Pulmonary Embolism, First Event",137678
609,Postpartum Breast Pain,137679
610,Postural Orthostatic Tachycardia Syndrome,137680
611,Pediatric Growth Hormone Deficiency,137681
612,Hypomagnesemia,137682
613,ge HCT (amlodipine / hydrochlorothiazide / valsartan),137683
614,Hairy Cell Leukemia,137684
615,Histoplasmosis,137685
616,Hypoglycemia,137686
617,Brain Tum,137687
618,Gastrointestinal Stromal Tum,137688
619,Tetanus,141272
620,"Breast Cancer, Prevention",137690
621,ICU Agitation,137691
622,Women (minoxidil),137692
623,Peripheral T-cell Lymphoma,141254
624,Chronic Inflammatory Demyelinating Polyradiculoneuropathy,140339
625,Pathological Hypersecretory Conditions,137695
626,Oral and Dental Conditions,137696
627,Antiphospholipid Syndrome,137697
628,Ventricular Arrhythmia,137698
629,Asystole,137699
630,Wegener's Granulomatosis,137700
631,Thromboembolic Stroke Prophylaxis,137701
632,Platelet Aggregation Inhibition,137702
633,Sleep Paralysis,137703
634,Rejection Prophylaxis,137704
635,"Delayed Puberty, Male",137705
636,Ascariasis,137706
637,Acute Promyelocytic Leukemia,140483
638,Bartonellosis,137708
639,Cyclothymic Disorde,137709
640,Hypokalemic Periodic Paralysis,137710
641,Varicose Veins,137711
642,Mononucleosis,137712
643,Cachexia,137713
644,Hyperkalemia,137714
645,Still's Disease,137715
646,Dementia,137716
647,Ocular Rosacea,137717
648,Hidradenitis Suppurativa,141270
649,SIADH,137719
650,Bullous Pemphigoid,137720
651,Angioedema,137721
652,Mountain Sickness / Altitude Sickness,137722
653,Severe Mood Dysregulation,137723
654,Cutaneous T-cell Lymphoma,137724
655,Adrenocortical Insufficiency,137725
656,Myxedema Coma,139867
657,Small Bowel Bacterial Overgrowth,137727
658,Sunburn,137728
659,Transverse Myelitis,137729
660,Squamous Cell Carcinoma,137730
661,Parkinsonism,137731
662,Thyrotoxicosis,137732
663,"Epididymitis, Sexually Transmitted",137733
664,Neck Pain,137734
665,Bleeding Disorde,137735
666,actor IX Deficiency,137736
667,Melanoma,137737
668,Thrombocytopenia,137738
669,Esophageal Variceal Hemorrhage Prophylaxis,137739
670,Glioblastoma Multi,137740
671,Cholera,137741
672,Anorexia/Feeding Problems,137742
673,Peritonitis,137743
674,AV Heart Block,137744
675,Pe,137745
676,Wilson's Disease,137746
677,Nonalcoholic Fatty Liver Disease,137747
678,Sepsis,137748
679,Anthrax,141370
680,Body Imaging,137750
681,Aggressive Behavi,137751
682,Hepatic Tum,137752
683,Ehrlichiosis,137753
684,Hypopituitarism,137754
685,Gender Dysphoria,137755
686,Infectious Diarrhea,141434
687,Ventricular Fibrillation,140228
688,Anaphylaxis,137758
689,Pemphigus,137759
690,Multiple Endocrine Adenomas,137760
691,Pre-Exposure Prophylaxis,137761
692,Postoperative Increased Intraocular Pressure,137762
693,Pruritus of Partial Biliary Obstruction,137763
694,Pertussis,137764
695,Periodontitis,137765
696,Lymphoma,137766
697,Hypercalcemia of Malignancy,137767
698,Pityriasis rubra pilaris,137768
699,Amebiasis,137769
700,t Care,137770
701,Hepatic Encephalopathy,137771
702,Deep Neck Infection,137772
703,"Meningitis, Meningococcal",137773
704,Parkinsonian Trem,137774
705,Rabies Prophylaxis,137775
706,Hypotension,137776
707,Myelofibrosis,140749
708,cal Segmental Glomerulosclerosis,137778
709,Gastric Ulcer Maintenance Treatment,137779
710,Paget's Disease,137780
711,Infection Prophylaxis,137781
712,Gastrointestinal Decontamination,137782
713,Mixed Connective Tissue Disease,137783
714,Somatoform Pain Disorde,137784
715,Esophageal Spasm,137785
716,Campylobacter Gastroenteritis,137786
717,Hyperphosphatemia,137787
718,Oligospermia,137788
719,Wound Cleansing,137789
720,Euvolemic Hyponatremia,137790
721,Gallbladder Disease,137791
722,"Mycobacterium avium-intracellulare, Treatment",137792
723,Oppositional Defiant Disorde,137793
724,Legionella Pneumonia,137794
725,"Breast Cancer, Palliative",137795
726,Hydrocephalus,137796
727,"Hyperlipoproteinemia Type III, Elevated beta-VLDL   IDL",137797
728,Anaplastic Astrocytoma,137798
729,Dupuytren's contracture,137799
730,Mumps Prophylaxis,137800
731,"Skin Disinfection, Preoperative",137801
732,Hyperbilirubinemia,137802
733,Meningitis,137803
734,Corneal Ulce,137804
735,acial Lipoatrophy,137805
736,Percutaneous Coronary Intervention,137806
737,Hepatitis B Prevention,137807
738,"Tuberculosis, Active",137808
739,Cerebrovascular Insufficiency,137809
740,Head Injury,137810
741,Anti NMDA Receptor Encephalitis,137811
742,Nonoccupational Exposure,137812
743,Gonadotropin Inhibition,137813
744,unctional Gastric Disorde,137814
745,Chronic Eosinophilic Leukemia,137815
746,Acetaminophen Overdose,137816
747,Duodenal Ulcer Prophylaxis,137817
748,"Paragonimus westermani, Lung Fluke",137818
749,Alpha-1 Proteinase Inhibitor Deficiency,137819
750,Cogan's Syndrome,137820
751,Uterine Bleeding,137821
752,Stomach Cance,137822
753,Sporotrichosis,137823
754,Cluster-Tic Syndrome,137824
755,Gestational Diabetes,137825
756,Stress Ulcer Prophylaxis,137826
757,Reversal of Nondepolarizing Muscle Relaxants,137827
758,Solid Tumors,137828
759,mist (,137829
760,Schnitzler Syndrome,137830
761,Hypocalcemia,137831
762,Meningococcal Meningitis Prophylaxis,137832
763,Nocardiosis,137833
764,Hemophilia B,137834
765,Microscopic polyangiitis,137835
766,"Gonococcal Infection, Disseminated",137836
767,Neurotic Depression,137837
768,Keratitis,137838
769,Hodgkin's Lymphoma,137839
770,me,137840
771,STD Prophylaxis,137841
772,Small Bowel or Pancreatic Fistula,137842
773,Prevention of Perinatal Group B Streptococcal Disease,137843
774,Cerebral Edema,137844
775,Testicular Cance,137845
776,Short Stature for Age,137846
777,"Aspergillosis, Aspergilloma",137847
778,Pemphigoid,137848
779,Hyperparathyroidism Secondary to Renal Impairment,137849
780,Ramsay Hunt Syndrome,137850
781,Cutaneous Larva Migrans,137851
782,Occipital Neuralgia,137852
783,Blepharitis,137853
784,Patent Ductus Arteriosus,137854
785,Joint Infection,137855
786,Manscaping Pain,137856
787,Strabismus,137857
788,"Organ Transplant, Rejection Reversal",137858
789,Leukocytoclastic Vasculitis,137859
790,Coronary Artery Disease,137860
791,Gastric Cance,137861
792,ibrocystic Breast Disease,137862
793,ungal Infection Prophylaxis,137863
794,Short Stature,137864
795,Hypercalcemia,137865
796,Coccidioidomycosis,137866
797,Cyclitis,137867
798,"Anemia, Chemotherapy Induced",137868
799,Upper Limb Spasticity,137869
800,Diagnostic Bronchograms,137870
801,Neoplastic Diseases,137871
802,Mycoplasma Pneumonia,137872
803,Linear IgA Disease,137873
804,Subarachnoid Hemorrhage,137874
805,Myeloproliferative Disorders,137875
806,ungal Pneumonia,137876
807,Scleroderma,140839
808,Zollinger-Ellison Syndrome,140571
809,Tinea Barbae,137879
810,Acute Nonlymphocytic Leukemia,137880
811,Neutropenia,137881
812,Stuffy Nose,139688
813,Other,139690
814,Disease of Ovaries with Cysts,139692
815,Abnormally Long or Heavy Periods,139694
816,Cancer of Ovary in Patient with Germline BRCA Mutation,139696
817,Nerve Pain after Herpes,139698
818,"Disorder characterized by Stiff, Tender & Painful Muscles",139699
819,Nerve Pain from Spinal Cord Injury,139700
820,Repeated Episodes of Anxiety,139701
821,Diabetic Complication causing Injury to some Body Nerves,139702
822,Acute Pain Following an Operation,139703
823,Additional Medication to Treat Partial Seizures,139704
824,Cushing's Syndrome,139705
825,Scaly Oily Skin Problem Primarily On Face and Scalp,139706
826,Runny Nose,139707
827,Nerve Damage caused by Hydrazine Poisoning,139708
828,Reversal of Neuromuscular Blockade Induced by Nondepolarizing Drug,139709
829,Prevent Poisoning by a Toxic War Gas Inhaled or Absorbed by Skin,139711
830,Presence of Body Lice,139712
831,Pinworm Infection,139713
832,Infestation by Roundworms,139714
833,Active Tuberculosis,139715
834,Urinary Tract Irritation,139716
835,Difficult or Painful Urination,139717
836,Ulcer of Duodenum caused by Bacteria Helicobacter Pylori,139718
837,Inflammation of the Stomach Lining caused by H. Pylori,139719
838,Skin Disease of the Scalp,139720
839,Abnormal Bleeding from the Uterus,139721
840,"""Change of Life"" Signs",139723
841,Painful Periods,139724
